,movieID,castID,castRole
0,2060425,1048491,actor
1,2060425,1064474,actor
2,2060425,1031917,actor
3,2060069,1103774,actor
4,2059298,1100286,actor
5,2059298,1074887,actor
6,2059298,2059298#google_vignette,actor
7,2059298,1100271,actor
8,2059298,1110017,actor
9,2059298,1098330,actor
10,2059298,1011858,actor
11,2058957,1001574,actor
12,2058957,1977129,actor
13,2058234,1977130,actor
14,2068611,1100272,actor
15,2068366,1015994,actor
16,2068366,1100150,actor
17,2068366,1107534,actor
18,2067020,1074022,actor
19,2067013,1024671,actor
20,2067013,1035185,actor
21,2067013,1101647,actor
22,2067013,1082742,actor
23,2067013,1084658,actor
24,2065225,1100178,actor
25,2065225,1023481,actor
26,2065010,1026639,actor
27,2065010,1077845,actor
28,2061752,1086934,actor
29,2061350,1010983,actor
30,2061350,1041233,actor
31,2060752,1096138,actor
32,2060752,1096064,actor
33,2060752,1089829,actor
34,2060752,1086147,actor
35,2060752,1096534,actor
36,2060752,1018134,actor
37,2060584,1032066,actor
38,2055990,1994572,actor
39,2055450,1069429,actor
40,2055450,1020534,actor
41,2055450,1100017,actor
42,2055450,1048346,actor
43,2055450,1090208,actor
44,2055450,1039127,actor
45,2055450,1004494,actor
46,2055450,2015808,actor
47,2054540,1083902,actor
48,2054540,1100363,actor
49,2052179,1101175,actor
50,2052179,1014111,actor
51,2049137,1031573,actor
52,2049137,1977444,actor
53,2066608,1013725,actor
54,2066608,1111491,actor
55,2065948,1009591,actor
56,2065948,1101295,actor
57,2065488,1056389,actor
